실험자 이름,이미지 이름,이미지 설명,메인 결과,서브결과1,서브 결과 2,해시태그 1,해시태그 2,해시태그 3
광어를 찾아서,광어를 찾아서1.png,레드다이어리,색감,질감,취향,#올레드다이어리,#이제 하반긴데,#좀 쓰셨나요
,광어를 찾아서10.png,엘리베이터 숫자판,색감,직관,취향,#높다 20층,#비트문자,#디지털
,광어를 찾아서11.png,전자레인지 팝콘,색감,감각,질감,#전자레인지팝콘,#유광,#붉은 포장지
,광어를 찾아서12.png,레트로 건담박스,색감,대상,의미,#프라모델 건담,#붉은 파츠,#이미지 컬러
,광어를 찾아서13.png,화기엄금 글씨,색감,직관,의미,#경고문,#화기엄금,#빨간글씨
,광어를 찾아서14.png,붉은 철제 서랍,색감,방법,대상,#철제서랍장,#뒤집어보기,#완전 빨간상자
,광어를 찾아서15.png,프링글스 포장지,색감,취향,직관,#프링글스,#붉은포장지,#배치
,광어를 찾아서16.png,붉은 입구 플라스틱 구멍,색감,형태,감각,#구멍,#붉은 입구,#플라스틱
,광어를 찾아서17.png,레드핑크 모자이크 패턴,색감,감각,선명,#프리즘,#레드핑크계열,#삼각모자이크 패턴
,광어를 찾아서18.png,총균쇠 책커버,색감,의미,직관,#총 균 쇠,#블랙,#붉은 글씨
,광어를 찾아서19.png,석류의 빛깔 타이틀 타이포,색감,질감,취향,#석류의 빛깔,#붉은 색,#타이틀
,광어를 찾아서2.png,유광 붉은표지의 일본어,색감,의미,선명,#비비드 레드,#일본어문구,#유관
,광어를 찾아서20.png,타이포 홀로그램,색감,질감,감각,#사랑은..,#홀로그램타이포,#애니메이션
,광어를 찾아서21.png,빨간 머리소녀 피규어,색감,취향,대상,#지쿠악스 마츄,#붉은머리,#귀엽다
,광어를 찾아서22.png,붉은색 마키마,색감,취향,대상,#캐릭터,#붉은 머리붉은눈,#마키마
,광어를 찾아서23.png,빨간머리 여성화보,색감,취향,대상,#레드패션,#간지,#히데
,광어를 찾아서24.png,레트로레드부츠,색감,취향,대상,#올레드 부츠,#아카이브,#간지
,광어를 찾아서25.png,펑크룩을 입은 레드머리남,색감,취향,대상,#펑크,#붉은머리,#포착
,광어를 찾아서26.png,턴에이지드림스 빨간 핀버튼,색감,형태,의미,#턴에이지드림스,#핀버튼,#감성
